SRA,url,deathrate,hospitalrate,edrate,d-heartdisease,d-stroke,d-asthma,d-pulminarydisease,d-diabetes,d-cancer,h-heartdisease,h-stroke,h-asthma,h-pulminarydisease,h-diabetes,e-heartdisease,e-stroke,e-asthma,e-pulminarydisease,e-diabetes
Alpine,alpine,329.8,639.9,639.9,112.1,46.2,0,33,0,138.5,395.8,270.5,164.9,131.9,217.7,85.8,79.2,184.7,250.7,118.7
Anza-Borrego Springs,anza-borragosprings,792.8,728.6,728.6,192.8,0,0,0,0,600,428.5,514.2,0.0,128.6,321.4,0.0,171.4,150.0,128.6,128.6
Carlsbad,carlsbad,323.7,280.5,280.5,88.9,38,0,32.8,11.2,152.8,265.8,189.0,28.5,67.3,47.5,17.3,44.9,87.2,82.0,37.1
Central SD,centralsd,305.5,692.9,692.9,94.6,21.7,3,30.7,17.5,138,290.4,217.5,113.9,125.3,183.8,24.1,35.5,433.2,413.9,225.3
Chula Vista,chulavista,564.2,1140.5,1140.5,190.7,40.5,0,52.6,38,242.4,535.7,345.1,90.6,170.8,253.6,64.7,115.6,647.0,742.8,263.1
Coastal,coastal,389.1,362.6,362.6,108.5,35.7,0,37.1,9.3,198.5,276.6,240.9,22.5,78.1,43.7,17.2,46.3,160.1,124.4,43.7
Coronado,coronado,390.1,360.1,360.1,150,47.2,0,30,0,162.9,231.5,282.9,21.4,85.7,38.6,34.3,64.3,145.7,141.5,38.6
Del Mar-Mira Mesa,delmar-miramesa,186.1,217.7,217.7,42.3,20.8,0,16.4,11.4,95.3,182.4,135.0,33.4,31.5,44.2,13.3,24.6,131.9,75.7,53.0
El Cajon,elcajon,372,527.7,527.7,116.6,41.5,0,36.7,22.4,154.9,287.4,242.7,82.2,140.5,150.1,56.7,54.3,240.3,233.9,110.2
Elliott-Navajo,elliott-navajo,354.5,401.4,401.4,96.2,30.2,0,22.4,21.2,184.5,287.4,193.5,49.2,63.7,129.7,36.9,48.1,173.3,130.8,88.3
Escondido,escondido,384.2,560.2,560.2,113.9,37.8,0,44.5,25.6,162.6,246.6,230.2,66.4,99.3,138.2,33.5,88.9,286.2,297.8,166.2
Fallbrook,fallbrook,432.4,549.3,549.3,129.5,54.3,0,48,18.8,181.7,390.6,271.6,85.6,173.4,112.8,71.0,71.0,307.1,211.0,94.0
Harbison Crest/El Cajon**,harbisoncrest,539.2,798.3,798.3,163.5,59.3,0,65,32.1,219.2,417.0,342.8,132.8,251.4,233.5,77.8,77.1,387.0,368.5,175.7
Jamul,jamul,386.8,568.8,568.8,136.5,39.8,0,0,28.4,182,375.5,290.1,39.8,125.2,130.8,91.0,74.0,369.8,256.0,108.1
Kearny Mesa,kearnymesa,423.9,520.1,520.1,138.4,44.2,0,34.9,21.1,185.2,240.6,250.5,83.1,117.3,129.9,28.3,60.0,350.7,223.5,141.7
La Mesa,lamesa,631.8,760.2,760.2,196.7,70,0,78.4,21.7,265.1,426.8,376.8,118.4,198.4,155.0,65.0,81.7,370.1,311.7,166.7
Laguna-Pine Valley,laguna-pinevalley,106.3,230.3,230.3,0,0,0,0,0,106.3,177.2,124.0,0.0,159.5,0.0,0.0,0.0,0.0,124.0,0.0
Lakeside,lakeside,335.3,486.1,486.1,83.4,21.3,0,42.6,17.7,170.3,269.7,186.3,65.6,157.9,126.0,56.8,44.4,246.6,193.4,118.9
Lemon Grove,lemongrove,360.6,564.3,564.3,130.2,26.7,0,33.4,26.7,143.6,233.7,233.7,113.5,156.9,200.3,26.7,56.8,397.3,280.5,183.6
Mid-City,midcity,291.1,524.6,524.6,97.4,25.7,0,26.3,19,122.6,245.1,180.2,106.0,111.5,177.7,23.9,35.5,457.7,272.1,177.7
Miramar,miramar,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mountain Empire,mountainempire,364.4,728.9,728.9,176.3,0,0,0,0,188.1,399.7,376.2,117.6,211.6,164.6,70.5,0.0,305.7,352.7,141.1
National City,nationalcity,401.8,777.9,777.9,155.6,29.1,0,44.5,41,131.6,518.0,326.5,126.5,143.6,343.6,29.1,56.4,589.8,490.7,288.9
North SD,northsd,387.5,448.8,448.8,112.4,42.7,0,38.1,12.1,182.1,315.9,210.0,61.3,50.2,65.0,52.0,91.1,182.1,153.3,86.4
Oceanside,oceanside,384.1,636.5,636.5,129.3,36.9,0,28.1,19.4,170.5,322.3,261.7,56.2,118.1,147.4,56.2,76.8,287.3,353.5,140.5
Palomar-Julian,palomar-julian,186.7,311.2,311.2,0,0,0,0,0,186.7,155.6,186.7,0.0,0.0,0.0,0.0,0.0,77.8,124.5,77.8
Pauma,pauma,193,193.0,193.0,102.9,0,0,0,0,90.1,193.0,218.7,0.0,128.7,90.1,0.0,0.0,193.0,102.9,90.1
Pendleton,pendleton,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Peninsula,peninsula,279.1,272.8,272.8,120.5,25.4,0,12.7,7.9,112.6,128.4,134.8,30.1,34.9,65.0,15.9,27.0,149.1,114.2,49.2
Poway,poway,250.9,318.8,318.8,70.2,19.6,0,31.1,12.7,117.4,208.3,154.2,34.5,47.2,58.7,34.5,41.4,141.5,132.3,66.7
Ramona,ramona,335.8,491.1,491.1,98.8,22.6,0,42.3,0,172.2,256.8,239.9,36.7,93.1,98.8,48.0,101.6,223.0,234.2,101.6
San Dieguito,sandieguito,318.2,321.4,321.4,91.7,43.2,0,31.6,9.5,142.3,260.3,184.4,34.8,45.3,45.3,21.1,63.2,128.6,123.3,62.2
San Marcos,sanmarcos,371.4,449.0,449.0,118.6,36.6,0,35.5,14.4,166.3,206.2,239.5,51.0,103.1,84.3,28.8,73.2,155.2,202.9,87.6
